pages, rows, time










1, 1, 57.907269954681
1, 2, 71.609217882156
1, 3, 101.23462414742
1, 4, 125.74826788902
1, 5, 148.95232510567
1, 6, 175.36984395981
1, 7, 200.13192796707
1, 8, 224.71096110344
1, 9, 250.95249009132
1, 10, 276.51485705376
1, 11, 304.61904001236
1, 12, 328.22941398621
1, 13, 353.56726884842
1, 14, 380.31228518486
1, 15, 406.48047614098
2, 1, 74.384383916855
2, 2, 96.734337091446
2, 3, 125.59270215034
2, 4, 150.67462205887
2, 5, 174.68442296982
2, 6, 199.63540315628
2, 7, 230.81990289688
2, 8, 257.53618502617
2, 9, 282.63852310181
2, 10, 304.9952340126
2, 11, 329.292304039
2, 12, 355.01779079437
2, 13, 392.20828986168
2, 14, 429.17865490913
3, 1, 98.061106920242
3, 2, 116.35843014717
3, 3, 143.86461615562
3, 4, 170.67207789421
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
3, 6, 229.36098599434
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
3, 8, 280.11711788177
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
3, 10, 336.65839600563
3, 12, 394.50706005096
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
3, 14, 455.692029953
4, 1, 114.15087389946
4, 2, 132.47807097435
4, 3, 163.01746201515
4, 4, 196.40555000305
4, 5, 221.94778490067
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
Fatal error: Uncaught parallel\Future\Error\Foreign: element click intercepted: Element <a href="" ng-click="selectPage(page + 1, $event)" ng-disabled="noNext()||ngDisabled" uib-tabindex-toggle="" class="ng-binding">...</a> is not clickable at point (730, 832). Other element would receive the click: <div class="btn-group ng-scope" ng-if="il.gc.total > il.gc.per_page">...</div>
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(64, 'element click i...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
4, 9, 317.78394889832
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
4, 11, 384.23319482803
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
